Angle,AverageAngleError,BattCap,BattX,BattZ,bomCost,CompX,CompZ,Dist_1_2,Dist_1_3,Dist_2_3,GyroSize,GyroX,GyroZ,InertialTensor,Interference,Ixx,Iyy,Izz,Mass,MaxAngularError,MaxBusVoltage,MaxGyroCurrent,MaxTemperature,MinBatteryCharge,MinBusVoltage,PV_Panels
112.067497915,0.00958589680123,61.9211489241,433.259481886,265.334355956,209066.0,537.102108027,99.6174710521,1222.02472601,2023.30583493,872.207186938,798.633997452,910.652827017,370.405879251,295290606094.0,2,58153451313.0,98048222443.8,139088932337.0,6035.239756344258,0.238373618565,16.0316243342,0.123319024507,,100,3.901445815,2
35.0260634221,0.00958581922387,331.23771176,891.23549111,181.680774017,209066.0,126.460077523,489.606903984,1133.60625029,2076.77212434,1184.14523381,931.361882715,752.118053576,288.026762531,184556338147.0,1,59552621550.0,40938037559.9,84065679036.7,6035.239756344258,0.23837337265,16.0316225169,0.126283234965,,100,4.36247667971,2
119.020656935,0.00958586858531,137.534259678,339.110323475,80.368291814,209066.0,439.933347913,400.566238455,1221.62359102,2013.23111412,913.888399801,992.383012699,809.096943392,211.046427829,300684345560.0,0,57650741029.3,100631039019.0,142402565512.0,6035.239756344258,0.238371680288,16.0316249312,0.122252416965,,100,4.06344717319,2
132.154414981,0.00958594744988,164.341529665,835.1655402,84.2470678387,209066.0,362.392125939,260.215368529,1152.8178679,1984.75264169,988.422755748,161.776934196,565.946188554,130.181556474,311825253929.0,0,57918736713.6,105746894471.0,148159622745.0,6035.239756344258,0.238371937031,16.0316229661,0.122823394837,,100,4.11337466585,2
112.10230846,0.00958588570229,282.113743696,915.542509074,177.35194542,209066.0,675.007003988,47.958267986,1359.17949586,2042.17505288,892.804599544,453.124104685,146.09239523,147.095966487,284276948080.0,1,57391349872.0,92541022285.4,134344575922.0,6035.239756344258,0.238372827395,16.0316233504,0.121698510034,,100,4.29814402242,2
95.3363295363,0.00958587775631,434.826148116,515.389905974,288.367922518,209066.0,975.162842176,448.942466618,1172.37673918,2019.66901621,979.630204249,625.690706571,770.342971153,53.7061379584,267738603259.0,1,57349734780.5,84246840102.4,126142028376.0,6035.239756344258,0.23837372174,16.0316225501,0.121607448743,,100,4.48011740657,2
11.9151135229,0.00958586747416,187.120482974,377.511769397,8.33414349484,209066.0,220.838234638,420.480029241,1135.96960371,1989.09195078,957.554608172,486.85636596,382.466594036,198.077101896,154385823518.0,0,59693631494.2,25397763474.7,69294428549.0,6035.239756344258,0.238371848544,16.0316253034,0.12658165624,,100,4.15330215906,2
113.122050171,0.0095858250732,241.330196527,591.730813732,259.015006844,209066.0,259.712536878,38.3168169283,1121.59368273,2008.43529566,938.852399047,607.868780302,549.29189746,301.102149016,289558935762.0,0,57866661924.0,95170277447.0,136521996391.0,6035.239756344258,0.238371850021,16.0316226829,0.122707596499,,100,4.23973711145,2
14.5460876861,0.00958587683053,393.631332846,264.346939671,36.2280170938,209066.0,641.069830697,472.892511644,1286.04800574,1975.41224406,1027.1786687,814.10720355,773.400174498,410.906915845,164022281839.0,0,60495339343.9,30247139013.8,73279803481.0,6035.239756344258,0.238371734999,16.0316229043,0.128281211315,,100,4.43590866305,2
70.2721850465,0.00958595966916,318.51864331,29.523244908,204.729930916,209066.0,190.529501848,217.978908286,1211.61991792,1993.0944342,865.215898013,130.114590755,491.318914303,185.557418882,226680786182.0,0,58099326815.4,63130267346.2,105451192021.0,6035.239756344258,0.238371718855,16.0316227301,0.123206972947,,100,4.34637466285,2
63.4450560966,0.00958585546496,350.923609254,354.670409201,238.761270507,209066.0,897.01721358,254.96626157,1191.0455101,2166.66016572,1008.41591516,794.067754755,20.6067703589,468.088312816,216391639570.0,1,59504844675.1,57764664271.9,99122130623.1,6035.239756344258,0.238372224436,16.0316225276,0.12618118414,,100,4.38660594334,2
33.7774148176,0.00958590559369,293.526759247,283.624440597,127.836375479,209066.0,348.505069653,1.94688440931,1262.40396384,2064.17228335,861.71785405,91.0936139416,764.031363319,457.188704338,184255865172.0,0,60348844534.1,40754009579.9,83153011058.1,6035.239756344258,0.23837369807,16.0316227996,0.127979241859,,100,4.31363717203,2
75.6747818154,0.00958589430908,438.802956067,194.985214852,72.3172431066,209066.0,78.9928262657,439.672339294,1197.92294812,1973.42783464,933.222374842,900.896064758,180.112484008,497.05032577,234662419837.0,0,59275724017.8,67284079779.9,108102616039.0,6035.239756344258,0.238372040505,16.0316276925,0.125695038139,,100,4.484338998,2
178.02195367,0.00958587889994,107.467070805,553.264113724,178.115878732,209066.0,510.294264502,356.16871484,1202.5136607,2030.41110963,869.510908723,570.372371848,140.52259581,32.2270732467,338791525864.0,0,62323135090.9,114746986761.0,161721404012.0,6035.239756344258,0.238371990838,16.031626957,0.132160031072,,100,4.00271228896,2
57.2237237181,0.00958588853147,481.773372142,691.519523267,81.0961291248,209066.0,508.647617742,36.5859068243,1330.62877842,2048.88224202,870.587901202,610.523618643,1.4676689763,281.099589955,205952092610.0,0,58781127864.8,52336195783.9,94834768961.2,6035.239756344258,0.238371908894,16.0316227303,0.124642262712,,100,4.52720818493,2
52.9063420215,0.0095858736879,75.2084788966,657.911886607,95.6041501116,209066.0,802.929648176,341.155244477,1227.88462948,1982.85944341,896.563155118,332.9791316,976.04616932,485.592921064,213955696489.0,3,59937962083.3,56192834428.6,97824899976.9,6035.239756344258,0.238371997206,16.031624632,0.127102278181,,100,3.9318187072,2
118.192433589,0.00958581920757,350.599285827,10.8139094203,201.376954632,209066.0,713.692709143,488.042784412,1244.86031072,2011.70431525,1139.61217309,444.369285028,547.458060844,115.994005765,294832674618.0,1,57466384018.7,97723123848.2,139643166751.0,6035.239756344258,0.238371886738,16.0316226056,0.121854724881,,100,4.38614007716,2
52.3413596409,0.00958591539798,264.767085033,919.719925611,165.627808049,209066.0,681.924040661,280.835115728,1416.38565822,2062.06310761,890.123365968,315.949412742,83.1669996592,393.503947386,200679710179.0,1,59453070111.2,49535964205.1,91690675863.2,6035.239756344258,0.238373702958,16.0316229303,0.126075431015,,100,4.27401767768,2
